,TPM,Gene Heterogeneity,log10TPM,htg.qtl
RPL15,1063.271803266904,0.6633976743146669,3.026644297044578,0.5
TRIM71,69.33600780074967,0.6834929612389695,1.840958832416746,0.5
ACVR2B,19.03802677074207,0.6829818664602515,1.2796219331772687,0.5
RPSA,5677.949545784207,0.513392436298035,3.754191529069574,0.25
RPL14,114.95707869093727,0.6298236113540585,2.0605357189002986,0.25
TDGF1,352.628957743031,0.6412355145636087,2.5473179735095792,0.25
TMA7,851.6507932869465,0.6185062384504583,2.9302615552867266,0.25
SHISA5,93.55265641672095,0.7166944972119748,1.9710561237520552,1.0
UQCRC1,234.7844664961354,0.6886636023455567,2.370669360300569,0.75
WDR6,50.72235437772388,0.6472795311359512,1.7051994039731029,0.25
IMPDH2,357.0307413046984,0.7040926508113767,2.552705611642198,1.0
QARS1,83.62464281455341,0.7099061891971679,1.9223342757803668,1.0
GPX1,1186.201477911844,0.6384066672255485,3.074158460793724,0.25
RHOA,114.2405244686046,0.6928275881384659,2.057820188245983,0.75
APEH,141.7934008471465,0.7060787772167617,2.1516560189827274,1.0
RPL29,2383.76970228575,0.5061244182794025,3.377264295590977,0.25
NT5DC2,518.9400776586564,0.7103382935144682,2.7151172124830802,1.0
TKT,493.3107900971845,0.7066174048767463,2.69312061481024,1.0
MTRNR2L12,813.8248300783998,0.2885499393688078,2.910530936194985,0.25
RPL24,2161.4389761212706,0.5013309383720328,3.3347429786122507,0.25
DPPA4,93.60387875418081,0.691041928233397,1.971293845390192,0.75
NDUFB4,580.9379946436882,0.6696892070218348,2.7641297812352015,0.5
FAM162A,62.59347386000096,0.6964822531256047,1.796529055026114,0.75
H1-10,143.52092549282844,0.6569629150284025,2.1569152262513858,0.25
RNF7,110.34958040791415,0.6826915547984377,2.042770686144036,0.5
PFN2,88.4400720126993,0.6895824226356423,1.9466490875329223,0.75
RPL22L1,190.70886444870462,0.71021701957048,2.280370880207433,1.0
SOX2,114.14040816190712,0.6981123989518618,2.057439421236831,0.75
AP2M1,43.310498479669924,0.6797082079491361,1.6365931822457547,0.5
PSMD2,162.57743635246808,0.6992838473253961,2.2110602709776734,0.75
EIF4G1,68.67887974534067,0.6910478351059248,1.8368232025578248,0.75
RPL39L,256.9321880427951,0.7076975551527536,2.409818515374536,1.0
RPL35A,2368.627390505443,0.5580088321553464,3.374496747098925,0.25
ATP5ME,1711.675767907113,0.5568059617826306,3.233421502429601,0.25
CTBP1,58.840249113876254,0.6391923637761019,1.7696745027460568,0.25
TACC3,27.356352358204134,0.6759088381624422,1.4370581889430725,0.5
LETM1,33.18434774522061,0.6673308287929427,1.5209332857889588,0.5
MRFAP1,110.99967830637395,0.704744383866537,2.045321720138287,1.0
RPL9,2630.558859330845,0.5462885194491659,3.420048023676083,0.25
UCHL1,198.00269515070323,0.7164945458909627,2.2966711017822994,1.0
OCIAD2,127.33912521236331,0.7025442565688671,2.104961862044641,1.0
PAICS,149.00736809030383,0.6776780780944879,2.1732077438608997,0.5
CCNI,185.06102333245897,0.6964769823642294,2.2673149593574973,0.75
HNRNPD,148.40653771269896,0.6954567115653889,2.1714530332206983,0.75
